2025/07/21 23:04:19.239, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 300.15 W
2025/07/21 23:04:21.262, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 293.93 W
2025/07/21 23:04:23.286, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 296.43 W
2025/07/21 23:04:25.310, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 296.01 W
2025/07/21 23:04:27.333, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 296.20 W
2025/07/21 23:04:29.356, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 296.55 W
2025/07/21 23:04:31.379, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 296.23 W
2025/07/21 23:04:33.403, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 296.09 W
2025/07/21 23:04:35.426, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 296.30 W
2025/07/21 23:04:37.450, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 303.40 W
2025/07/21 23:04:39.475, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 297.81 W
2025/07/21 23:04:41.500, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1185 MHz, 302.52 W
2025/07/21 23:04:43.524, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1110 MHz, 293.96 W
2025/07/21 23:04:45.548, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1140 MHz, 294.95 W
2025/07/21 23:04:47.572, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 295.15 W
2025/07/21 23:04:49.595, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1110 MHz, 293.96 W
2025/07/21 23:04:51.619, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 70, 1125 MHz, 295.20 W
2025/07/21 23:04:53.642, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.48 W
2025/07/21 23:04:55.666, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.39 W
2025/07/21 23:04:57.689, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.59 W
2025/07/21 23:04:59.712, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.61 W
2025/07/21 23:05:01.736, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.50 W
2025/07/21 23:05:03.759, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.28 W
2025/07/21 23:05:05.782, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.53 W
2025/07/21 23:05:07.806, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.18 W
2025/07/21 23:05:09.831, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.52 W
2025/07/21 23:05:11.855, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.40 W
2025/07/21 23:05:13.878, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.60 W
2025/07/21 23:05:15.902, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 299.12 W
2025/07/21 23:05:17.925, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.60 W
2025/07/21 23:05:19.949, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.94 W
2025/07/21 23:05:21.973, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.71 W
2025/07/21 23:05:23.996, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 299.03 W
2025/07/21 23:05:26.019, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.78 W
2025/07/21 23:05:28.043, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.41 W
2025/07/21 23:05:30.066, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1155 MHz, 298.26 W
2025/07/21 23:05:32.090, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 298.64 W
2025/07/21 23:05:34.113, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 299.11 W
2025/07/21 23:05:36.136, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 296.52 W
2025/07/21 23:05:38.159, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1125 MHz, 296.24 W
2025/07/21 23:05:40.182, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 296.02 W
2025/07/21 23:05:42.206, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1170 MHz, 300.79 W
2025/07/21 23:05:44.230, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 297.18 W
2025/07/21 23:05:46.254, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1125 MHz, 297.16 W
2025/07/21 23:05:48.277, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 297.30 W
2025/07/21 23:05:50.301, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 296.95 W
2025/07/21 23:05:52.324, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1125 MHz, 296.99 W
2025/07/21 23:05:54.347, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 71, 1140 MHz, 296.74 W
2025/07/21 23:05:56.370, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 100 %, 67, 1935 MHz, 200.02 W
2025/07/21 23:05:58.392, NVIDIA GeForce RTX 3090, 00000000:01:00.0, 0 %, 65, 1695 MHz, 167.99 W
